"count","ideo_mean","user.verified","url","media","followers","ideology","hasIdeo","party_mean","party","ACount_unq","MCount_unq","shared","posCount_unq","shared_pos","negCount_unq","shared_neg"
2,1.4516,0,1,-1,652.5556,NA,0,1,NA,0,1,0,0,0,0,0
2,-1.116,0,-1,-1,7790.9362,-1.3232,1,-1,-1,0,0,0,0,0,0,0
2,-0.9851,0,1,1,269.2,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.7521,0,-1,1,44155.5342,NA,0,-1,NA,2,1,1,2,0,0,1
2,-0.562,0,-1,-1,1927,-0.4858,1,-1,-1,2,2,0,2,0,0,0
2,-1.2454,0,1,-1,746,NA,0,-1,NA,0,1,1,0,1,0,0
2,-0.2583,1,1,-1,497733.6429,NA,0,-1,NA,0,1,1,0,1,0,0
2,-0.6907,0,1,-1,1098.75,NA,0,-1,NA,1,0,0,1,0,0,0
2,-0.0561,0,1,-1,6937,NA,0,-1,NA,0,1,1,0,0,0,1
2,-0.8793,0,-1,1,1315.3571,NA,0,-1,NA,0,1,1,0,1,0,0
2,-0.7976,1,1,-1,82912.2424,0.0261,1,-1,1,0,0,0,0,0,0,0
2,-1.0585,0,1,-1,7666.4643,NA,0,-1,NA,1,0,1,0,0,1,0
2,-1.3358,0,1,1,24694.4,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.6672,1,1,1,255746.2957,-1.0558,1,-1,-1,0,0,0,0,0,0,0
2,0.0804,0,-1,-1,6460,NA,0,1,NA,0,1,0,0,0,0,0
2,-0.6754,0,-1,-1,1447,NA,0,-1,NA,2,1,0,2,0,0,0
2,-0.3477,0,-1,-1,1407.5,-0.2392,1,-1,-1,1,0,0,1,0,0,0
2,-0.6617,0,1,-1,654.5,NA,0,-1,NA,1,3,0,1,0,0,0
2,-0.6623,0,-1,1,1927.125,-1.1391,1,-1,-1,2,0,0,2,0,0,0
2,-0.8069,0,1,-1,5395.3333,-0.3531,1,-1,-1,0,1,1,0,0,0,1
2,-1.0667,0,1,-1,2716,NA,0,-1,NA,1,0,1,0,1,1,0
2,-1.0278,0,-1,1,5821.2,NA,0,-1,NA,0,0,0,0,0,0,0
2,-0.049,0,-1,-1,1049,-0.7357,1,-1,-1,1,0,0,0,0,1,0
2,-0.3636,0,-1,-1,1049,-0.7357,1,-1,-1,1,0,0,0,0,1,0
2,1.542,0,1,-1,1914.8125,1.7974,1,1,1,1,0,0,0,0,1,0
2,-1.3747,0,-1,-1,5619.9615,NA,0,-1,NA,3,2,0,3,0,0,0
2,-0.5872,0,-1,1,477.25,NA,0,-1,NA,0,0,0,0,0,0,0
2,1.5607,0,1,-1,53115,0.721,1,1,1,0,0,0,0,0,0,0
