"count","ideo_mean","user.verified","url","media","followers","ideology","hasIdeo","party_mean","party","ACount_unq","MCount_unq","shared","posCount_unq","shared_pos","negCount_unq","shared_neg"
31,1.5507,0,1,1,183723.3669,1.0444,1,1,1,0,0,0,0,0,0,0
31,1.4182,0,1,1,37809.8819,1.1047,1,1,1,0,2,0,0,0,0,0
31,1.5947,1,1,-1,532871.2143,0.4799,1,1,1,0,1,1,0,0,0,0
31,1.5246,1,1,-1,311797.8319,1.177,1,1,1,0,0,1,0,1,0,0
31,-0.5567,1,-1,1,62547.4039,-0.2534,1,-1,-1,4,1,0,3,0,1,0
31,-0.6647,0,-1,-1,20893.4924,2.1131,1,-1,1,1,1,1,1,0,0,0
31,-0.5872,0,1,1,24457.8837,0.0327,1,-1,1,0,0,0,0,0,0,0
31,1.4909,0,-1,1,47777,1.5738,1,1,1,0,0,0,0,0,0,0
31,-0.5851,0,-1,1,24459,0.0327,1,-1,1,0,0,0,0,0,0,0
31,1.5592,0,1,1,7550,1.4598,1,1,1,1,1,0,0,0,1,0
31,-0.6945,0,-1,1,24465,0.0327,1,-1,1,0,0,0,0,0,0,0
30,-0.3787,1,1,1,9130722.7456,0.47,1,-1,1,1,1,0,0,0,1,0
30,-0.3857,0,-1,1,70.2857,-0.3279,1,-1,-1,0,0,0,0,0,0,0
30,1.607,0,-1,-1,30948.855,NA,0,1,NA,1,0,0,1,0,0,0
30,1.593,0,-1,1,68712.2929,NA,0,1,NA,1,1,0,0,0,1,0
30,1.4179,0,-1,1,3733.7568,NA,0,1,NA,0,1,0,0,0,0,0
30,1.5834,0,1,1,37809.8819,1.1047,1,1,1,0,0,0,0,0,0,0
30,1.5456,0,-1,1,69678.0647,NA,0,1,NA,0,0,0,0,0,0,0
30,-0.557,1,1,-1,199619.1335,NA,0,-1,NA,1,0,3,1,0,0,3
30,-0.5529,1,1,-1,62547.4039,-0.2534,1,-1,-1,0,0,0,0,0,0,0
30,-0.5499,1,-1,-1,105305.9745,-0.6261,1,-1,-1,0,1,0,0,0,0,0
30,-0.5574,0,-1,1,1447,-0.967,1,-1,-1,0,0,0,0,0,0,0
30,1.5319,0,-1,1,108899,2.3433,1,1,1,0,0,0,0,0,0,0
30,-0.5088,0,-1,1,501,0.3407,1,-1,1,1,0,0,1,0,0,0
30,-0.5535,0,-1,1,498,-0.7269,1,-1,-1,0,0,0,0,0,0,0
30,1.3808,0,1,-1,57340,1.3666,1,1,1,0,1,0,0,0,0,0
30,-0.5131,0,1,-1,12404,-0.3838,1,-1,-1,0,0,0,0,0,0,0
29,-0.7379,1,1,1,150440.2684,-0.2545,1,-1,-1,0,0,0,0,0,0,0
29,1.5175,0,1,-1,28139.1471,NA,0,1,NA,0,0,0,0,0,0,0
29,1.6649,0,-1,1,94508.1241,1.7612,1,1,1,0,1,0,0,0,0,0
29,1.6388,0,1,1,37809.8819,1.1047,1,1,1,0,0,1,0,0,0,0
29,1.5929,0,-1,1,3404.9039,NA,0,1,NA,0,1,0,0,0,0,0
29,1.6015,1,1,1,145988.9621,1.5793,1,1,1,0,0,0,0,0,0,0
29,-0.56,0,-1,1,819.463,-0.1339,1,-1,-1,0,0,1,0,0,0,1
29,-0.5078,0,-1,1,518.2857,-0.8749,1,-1,-1,1,0,0,1,0,0,0
29,-0.5267,0,1,1,39301.3333,-0.306,1,-1,-1,0,0,0,0,0,0,0
29,-0.4833,0,-1,-1,3912,-1.013,1,-1,-1,0,0,0,0,0,0,0
29,1.7433,0,1,-1,65391,1.1529,1,1,1,0,1,0,0,0,0,0
29,1.5299,0,1,-1,25284,0.8076,1,1,1,0,0,1,0,0,0,1
29,-0.7138,0,-1,1,24458,0.0327,1,-1,1,0,0,0,0,0,0,0
29,-0.4753,0,-1,1,1001,-0.3641,1,-1,-1,0,0,0,0,0,0,0
28,-0.0636,1,1,1,541935.2191,0.4415,1,-1,1,0,1,0,0,0,0,0
28,1.5931,1,1,-1,47295.6382,1.0082,1,1,1,1,1,0,1,0,0,0
28,1.2418,1,1,1,72204.1321,0.2837,1,1,1,0,2,0,0,0,0,0
28,-0.6146,1,1,-1,683476.1711,-1.0733,1,-1,-1,0,1,0,0,0,0,0
