"Democrat","Republican","NegativeAffect","PositiveAffect","MoralEmotional","retweet_count","favorite_count","has_URL","has_media","outgroup","outgroupidentity","outgroupcongress","outgrouptop","year"
0,0,0,0,0,92,636,TRUE,FALSE,,,,,2020
0,0,0,0,0,128,434,TRUE,FALSE,,,,,2020
0,0,0,0,0,106,372,TRUE,FALSE,,,,,2020
0,0,0,0,0,81,525,TRUE,FALSE,,,,,2020
0,0,0,0,0,131,622,TRUE,FALSE,,,,,2020
0,0,0,0,0,246,868,TRUE,FALSE,,,,,2020
0,0,0,0,0,74,387,TRUE,FALSE,,,,,2020
0,0,0,0,0,290,1971,TRUE,FALSE,,,,,2020
0,0,0,0,0,105,580,TRUE,FALSE,,,,,2020
0,0,0,0,0,54,292,TRUE,FALSE,,,,,2020
0,0,0,0,0,210,1484,TRUE,FALSE,,,,,2020
0,0,0,0,0,75,355,TRUE,FALSE,,,,,2020
0,0,0,0,0,187,1346,TRUE,FALSE,,,,,2020
0,0,0,0,0,132,1015,TRUE,FALSE,,,,,2020
0,0,0,0,0,98,715,TRUE,FALSE,,,,,2020
0,0,0,0,0,213,1730,TRUE,FALSE,,,,,2020
0,0,0,0,0,94,338,TRUE,FALSE,,,,,2020
0,0,0,0,0,115,643,TRUE,FALSE,,,,,2020
0,0,0,0,0,68,573,TRUE,FALSE,,,,,2020
0,0,0,0,0,109,563,TRUE,FALSE,,,,,2020
0,0,0,0,0,225,1281,TRUE,FALSE,,,,,2020
0,0,0,0,0,70,432,TRUE,FALSE,,,,,2020
0,0,0,0,0,112,341,TRUE,FALSE,,,,,2020
0,0,0,0,0,106,410,TRUE,FALSE,,,,,2020
0,0,0,0,0,299,1036,TRUE,FALSE,,,,,2020
0,0,0,0,0,220,1146,TRUE,FALSE,,,,,2020
0,0,0,0,0,187,788,TRUE,FALSE,,,,,2020
0,0,0,0,0,55,329,TRUE,FALSE,,,,,2020
0,0,0,0,0,52,202,TRUE,FALSE,,,,,2020
0,0,0,0,0,62,188,TRUE,FALSE,,,,,2020
